"","early_interval","interval.ma","occurrence_no","fad","lad","accepted_name","ex","phylum","class","family","paleolat","paleolng","collection_no","reference_no"
"879","Induan",251.2,898490,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-23.38,103.38,99887,33715
"880","Induan",251.2,1161841,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-13.73,106.19,149287,36523
"881","Induan",251.2,1319513,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",8.35,40.84,177395,56872
"882","Induan",251.2,987797,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.91,22.67,118621,33700
"883","Induan",251.2,987766,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.92,22.66,118615,33700
"884","Induan",251.2,1416591,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-15.96,106.57,195896,66687
"885","Induan",251.2,988163,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",44.09,22.81,118744,33700
"886","Induan",251.2,1416597,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-15.96,106.57,195898,66687
"887","Induan",251.2,1466774,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-9.91,108.13,204860,70290
"888","Induan",251.2,860298,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-10.48,106.01,95609,29971
"889","Induan",251.2,496117,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",7.85,56.86,48966,13064
"890","Induan",251.2,1466880,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-9.91,108.13,204882,70290
"891","Induan",251.2,454288,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-22.9,53.87,44831,11694
"892","Induan",251.2,1172438,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-13.77,106.56,151115,36523
"893","Induan",251.2,1319492,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",8.35,40.84,177387,56872
"894","Induan",251.2,1424592,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",12.74,36.16,197821,67172
